=== WEDDING PHOTO IMAGE ANALYSIS REPORT ===
Generated on: Wed Oct  1 13:13:54 CDT 2025
Directory: public/wedding-photos

CRITERIA FOR UPSCALING:
- Width or height less than 1200px
- File size less than 100KB

=== DIRECTORY: 2014-2 ===

File Name                           | Dimensions   | Size KB  | Needs Upscaling | Reason
----------------------------------- | ------------ | -------- | --------------- | --------------------
001.png                             | 2718x1812      | 6817     | NO              | 
002.png                             | 2880x1920      | 7797     | NO              | 
003.png                             | 1879x2819      | 6967     | NO              | 
004.png                             | 2538x1692      | 5680     | NO              | 
005.png                             | 2740x1827      | 6600     | NO              | 
006.png                             | 1827x2740      | 7372     | NO              | 
007.png                             | 1827x2740      | 7337     | NO              | 
008.png                             | 1827x2740      | 5722     | NO              | 
009.png                             | 1648x2473      | 5171     | NO              | 
010.png                             | 1855x2783      | 5816     | NO              | 
011.png                             | 1920x2880      | 7276     | NO              | 
012.png                             | 960x1440      | 2175     | YES             | Low resolution
013.png                             | 960x1440      | 2140     | YES             | Low resolution
014.png                             | 1440x960       | 2679     | YES             | Low resolution
015.png                             | 1440x960       | 2422     | YES             | Low resolution
016.png                             | 787x1181      | 1076     | YES             | Low resolution
017.png                             | 838x1257      | 1355     | YES             | Low resolution
018.png                             | 960x1440      | 1783     | YES             | Low resolution
019.png                             | 1204x802       | 786      | YES             | Low resolution
020.png                             | 1120x747       | 711      | YES             | Low resolution
021.png                             | 847x1271      | 1057     | YES             | Low resolution
022.png                             | 960x1440      | 1589     | YES             | Low resolution
023.png                             | 942x1413      | 2030     | YES             | Low resolution
024.png                             | 786x1179      | 1384     | YES             | Low resolution
025.png                             | 1440x960       | 2124     | YES             | Low resolution
026.png                             | 960x1440      | 1824     | YES             | Low resolution
027.png                             | 960x1440      | 1938     | YES             | Low resolution
028.png                             | 960x1440      | 1931     | YES             | Low resolution
029.png                             | 960x1440      | 1927     | YES             | Low resolution
030.png                             | 960x1440      | 2658     | YES             | Low resolution
031.png                             | 960x1440      | 2238     | YES             | Low resolution
032.png                             | 960x1440      | 2455     | YES             | Low resolution
033.png                             | 1920x2880      | 8910     | NO              | 
034.png                             | 1920x2880      | 8982     | NO              | 
035.png                             | 1920x2880      | 8966     | NO              | 
036.png                             | 1920x2880      | 9283     | NO              | 
037.png                             | 1920x2880      | 8595     | NO              | 
038.png                             | 1920x2880      | 7240     | NO              | 
039.png                             | 1920x2880      | 9037     | NO              | 
040.png                             | 2880x1920      | 8729     | NO              | 
041.png                             | 2880x1920      | 9373     | NO              | 
042.png                             | 2880x1920      | 7707     | NO              | 
043.png                             | 2880x1920      | 7640     | NO              | 
044.png                             | 1920x2880      | 6263     | NO              | 
045.png                             | 2825x1883      | 7789     | NO              | 
046.png                             | 1920x2880      | 10163    | NO              | 
047.png                             | 1920x2880      | 6216     | NO              | 
048.png                             | 1920x2880      | 5816     | NO              | 
049.png                             | 1920x2880      | 6498     | NO              | 
050.png                             | 2880x1920      | 6669     | NO              | 
051.png                             | 1920x2880      | 8410     | NO              | 
052.png                             | 2880x1920      | 8461     | NO              | 
053.png                             | 1920x2880      | 9544     | NO              | 
